team,title,rank,created_date
HOUSE OF SKY AND BREATH,1,Jake,2023-10-04 22:20:22
THE SCARLET VEIL,3,Pete,2023-10-04 22:20:22
ENOUGH,1,Jake,2023-10-04 22:20:23
CONSTRUCTION SITE: TAKING FLIGHT!,3,Pete,2023-10-04 22:20:25
"SOMETHING, SOMEDAY",1,Jake,2023-10-04 22:20:25
THE RUNNING GRAVE,1,Jake,2023-10-04 22:20:26
THE NOISE,3,Pete,2023-10-04 23:00:03
THE BOYS FROM BILOXI,1,Jake,2023-10-04 23:00:03
HOOKY VOL. 3,1,Jake,2023-10-04 23:00:12
"MY HERO ACADEMIA, VOL. 35",3,Pete,2023-10-04 23:00:12
WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,1,Jake,2023-10-11 22:20:24
TRUST,3,Pete,2023-10-11 22:20:25
WILDFIRE,1,Jake,2023-10-11 22:20:25
GOING INFINITE,1,Jake,2023-10-11 22:20:26
KILLING THE WITCHES,3,Pete,2023-10-11 22:20:26
JUDGMENT PREY,1,Jake,2023-10-11 22:20:29
HOW TO CATCH A WITCH,3,Pete,2023-10-11 22:20:29
NIGHT OF THE WITCH,3,Pete,2023-10-18 22:00:22
THE HARRY POTTER WIZARDING ALMANAC,1,Jake,2023-10-18 22:00:22
TWISTED LOVE,3,Pete,2023-10-18 22:00:23
NOT THAT FANCY,3,Pete,2023-10-18 22:00:24
BE USEFUL,1,Jake,2023-10-18 22:00:24
THE LEAF THIEF,3,Pete,2023-10-18 22:00:26
THE EXCHANGE,1,Jake,2023-10-25 22:20:22
TWO TWISTED CROWNS,3,Pete,2023-10-25 22:20:24
PREQUEL,1,Jake,2023-10-25 22:20:25
WORTHY,3,Pete,2023-10-25 22:20:25
THE HUNDRED YEARS' WAR ON PALESTINE,3,Pete,2023-10-25 22:20:26
FOREVER STRONG,3,Pete,2023-10-25 22:20:26
THE WHEEL OF THE YEAR,3,Pete,2023-11-01 22:20:24
KING OF GREED,1,Jake,2023-11-01 22:20:25
LONG LIVE THE PUMPKIN QUEEN,3,Pete,2023-11-01 22:20:25
THE WOMAN IN ME,1,Jake,2023-11-01 22:20:26
ROMNEY,3,Pete,2023-11-01 22:20:26
THE PIONEER WOMAN COOKS: DINNER'S READY!,3,Pete,2023-11-01 22:20:27
HIDDEN POTENTIAL,1,Jake,2023-11-01 22:20:27
THE SECRET,1,Jake,2023-11-01 22:20:29
A FLICKER IN THE DARK,3,Pete,2023-11-01 23:00:07
THE  BAD GUYS: A VERY BAD HOLIDAY,3,Pete,2023-11-01 23:00:11
STACEY'S MISTAKE,3,Pete,2023-11-01 23:00:18
"CHAINSAW MAN, VOL. 12",1,Jake,2023-11-01 23:00:18
DIRTY THIRTY,1,Jake,2023-11-08 23:20:23
CURIOUS TIDES,3,Pete,2023-11-08 23:20:25
WHAT THE RIVER KNOWS,1,Jake,2023-11-08 23:20:25
ALL THE LIGHT WE CANNOT SEE,1,Jake,2023-11-08 23:20:26
HOW TO KNOW A PERSON,3,Pete,2023-11-08 23:20:27
BIG HEART LITTLE STOVE,1,Jake,2023-11-08 23:20:27
BEING HENRY,3,Pete,2023-11-08 23:20:27
HOW TO CATCH A TURKEY,3,Pete,2023-11-08 23:20:29
IRON FLAME,1,Jake,2023-11-15 23:20:26
RESURRECTION WALK,3,Pete,2023-11-15 23:20:26
MURTAGH,1,Jake,2023-11-15 23:20:27
LOVE REDESIGNED,3,Pete,2023-11-15 23:20:28
BOOKSHOPS & BONEDUST,1,Jake,2023-11-15 23:20:28
POWERLESS,3,Pete,2023-11-15 23:20:28
THE BIG CHEESE,1,Jake,2023-11-15 23:20:31
THE EDGE,3,Pete,2023-11-22 23:20:22
MY EFFIN' LIFE,3,Pete,2023-11-22 23:20:26
MY NAME IS BARBRA,3,Pete,2023-11-22 23:20:30
THE STORYTELLER,3,Pete,2023-11-29 23:20:26
HOW TO CATCH SANTA CLAUS,3,Pete,2023-11-29 23:20:27
INHERITANCE,3,Pete,2023-11-29 23:20:27
BETTING ON YOU,3,Pete,2023-12-06 23:20:28
HOW TO BE THE LOVE YOU SEEK,1,Jake,2023-12-06 23:20:30
HOW TO CATCH AN ELF,1,Jake,2023-12-06 23:20:32
UNNATURAL DEATH,3,Pete,2023-12-06 23:20:33
THE JAILHOUSE LAWYER,3,Pete,2023-12-07 00:40:06
INFLUENCERS,1,Jake,2023-12-07 00:40:16
CHECK & MATE,1,Jake,2023-12-07 00:40:21
NIGHTBANE,3,Pete,2023-12-13 23:20:25
OATH AND HONOR,1,Jake,2023-12-13 23:20:26
THE BOYS IN THE BOAT,3,Pete,2023-12-13 23:20:28
THE OFFICIAL FIVE NIGHTS AT FREDDY'S COOKBOOK,3,Pete,2023-12-20 23:40:24
THE SEVEN HUSBANDS OF EVELYN HUGO,3,Pete,2023-12-20 23:40:25
